dataset,policy,seed,system,step,corrections,acc_novel,acc_original,pred_secs,correct_secs
banking77,oracle,0,substrate,0,0,0.0,0.97,0.0,0.0
banking77,oracle,0,substrate,50,33,0.44,0.97,0.016,0.014
banking77,oracle,0,substrate,100,54,0.56,0.97,0.035,0.0215
banking77,oracle,0,substrate,150,72,0.6475,0.97,0.0576,0.025
banking77,oracle,0,substrate,200,84,0.705,0.97,0.0766,0.029
banking77,oracle,0,substrate,250,99,0.7475,0.97,0.0966,0.034
banking77,oracle,0,substrate,300,107,0.77,0.97,0.1201,0.037
banking77,oracle,0,substrate,350,117,0.8025,0.9675,0.1376,0.0425
banking77,oracle,0,substrate,400,127,0.805,0.9675,0.1597,0.0455
banking77,oracle,0,substrate,450,133,0.815,0.9675,0.1807,0.0475
banking77,oracle,0,substrate,500,139,0.8375,0.9675,0.2022,0.049
banking77,oracle,0,substrate,550,144,0.8425,0.9675,0.2222,0.052
banking77,oracle,0,substrate,600,154,0.855,0.9675,0.2402,0.0555
banking77,oracle,0,substrate,650,162,0.8575,0.9675,0.2562,0.06
banking77,oracle,0,substrate,700,163,0.8575,0.9675,0.2758,0.0605
banking77,oracle,0,substrate,750,166,0.8625,0.9675,0.2998,0.062
banking77,oracle,0,substrate,800,170,0.8625,0.965,0.3183,0.0635
banking77,oracle,0,substrate,850,175,0.8675,0.965,0.3363,0.0655
banking77,oracle,0,substrate,900,179,0.8675,0.965,0.3533,0.0675
banking77,oracle,0,substrate,950,184,0.8675,0.965,0.3734,0.0695
banking77,oracle,0,substrate,1000,186,0.8675,0.965,0.3924,0.0705
banking77,oracle,0,substrate,1050,195,0.875,0.965,0.4134,0.0735
banking77,oracle,0,substrate,1100,199,0.88,0.965,0.4309,0.0755
banking77,oracle,0,substrate,1150,203,0.88,0.965,0.4505,0.077
banking77,oracle,0,substrate,1195,207,0.88,0.965,0.4695,0.0785
banking77,oracle,0,static_knn,0,0,0.0,0.97,0.0,0.0
banking77,oracle,0,static_knn,50,50,0.0,0.97,0.02,0.0
banking77,oracle,0,static_knn,100,100,0.0,0.97,0.0355,0.0
banking77,oracle,0,static_knn,150,150,0.0,0.97,0.0506,0.0
banking77,oracle,0,static_knn,200,200,0.0,0.97,0.0656,0.0
banking77,oracle,0,static_knn,250,250,0.0,0.97,0.0826,0.0
banking77,oracle,0,static_knn,300,300,0.0,0.97,0.1006,0.0
banking77,oracle,0,static_knn,350,350,0.0,0.97,0.1161,0.0005
banking77,oracle,0,static_knn,400,400,0.0,0.97,0.1336,0.0005
banking77,oracle,0,static_knn,450,450,0.0,0.97,0.1516,0.0005
banking77,oracle,0,static_knn,500,500,0.0,0.97,0.1692,0.0005
banking77,oracle,0,static_knn,550,550,0.0,0.97,0.1862,0.0005
banking77,oracle,0,static_knn,600,600,0.0,0.97,0.2077,0.0005
banking77,oracle,0,static_knn,650,650,0.0,0.97,0.2257,0.0005
banking77,oracle,0,static_knn,700,700,0.0,0.97,0.2412,0.0005
banking77,oracle,0,static_knn,750,750,0.0,0.97,0.2603,0.0005
banking77,oracle,0,static_knn,800,800,0.0,0.97,0.2753,0.0005
banking77,oracle,0,static_knn,850,850,0.0,0.97,0.2883,0.001
banking77,oracle,0,static_knn,900,900,0.0,0.97,0.3028,0.0015
banking77,oracle,0,static_knn,950,950,0.0,0.97,0.3163,0.0015
banking77,oracle,0,static_knn,1000,1000,0.0,0.97,0.3308,0.0015
banking77,oracle,0,static_knn,1050,1050,0.0,0.97,0.3459,0.0015
banking77,oracle,0,static_knn,1100,1100,0.0,0.97,0.3594,0.0015
banking77,oracle,0,static_knn,1150,1150,0.0,0.97,0.3764,0.0015
banking77,oracle,0,static_knn,1195,1195,0.0,0.97,0.3914,0.0015
banking77,oracle,0,static_linear,0,0,0.0,0.9625,0.0,0.0
banking77,oracle,0,static_linear,50,50,0.0,0.9625,0.001,0.0
banking77,oracle,0,static_linear,100,100,0.0,0.9625,0.002,0.0
banking77,oracle,0,static_linear,150,150,0.0,0.9625,0.003,0.0
banking77,oracle,0,static_linear,200,200,0.0,0.9625,0.0035,0.0
banking77,oracle,0,static_linear,250,250,0.0,0.9625,0.004,0.0
banking77,oracle,0,static_linear,300,300,0.0,0.9625,0.0045,0.0
banking77,oracle,0,static_linear,350,350,0.0,0.9625,0.0055,0.0
banking77,oracle,0,static_linear,400,400,0.0,0.9625,0.006,0.0
banking77,oracle,0,static_linear,450,450,0.0,0.9625,0.007,0.0
banking77,oracle,0,static_linear,500,500,0.0,0.9625,0.0075,0.0
banking77,oracle,0,static_linear,550,550,0.0,0.9625,0.0085,0.0
banking77,oracle,0,static_linear,600,600,0.0,0.9625,0.009,0.0
banking77,oracle,0,static_linear,650,650,0.0,0.9625,0.0101,0.0
banking77,oracle,0,static_linear,700,700,0.0,0.9625,0.0111,0.0
banking77,oracle,0,static_linear,750,750,0.0,0.9625,0.0116,0.0
banking77,oracle,0,static_linear,800,800,0.0,0.9625,0.0121,0.0
banking77,oracle,0,static_linear,850,850,0.0,0.9625,0.0126,0.0
banking77,oracle,0,static_linear,900,900,0.0,0.9625,0.0131,0.0
banking77,oracle,0,static_linear,950,950,0.0,0.9625,0.0135,0.0
banking77,oracle,0,static_linear,1000,1000,0.0,0.9625,0.014,0.0
banking77,oracle,0,static_linear,1050,1050,0.0,0.9625,0.014,0.0
banking77,oracle,0,static_linear,1100,1100,0.0,0.9625,0.0146,0.0
banking77,oracle,0,static_linear,1150,1150,0.0,0.9625,0.0151,0.0
banking77,oracle,0,static_linear,1195,1195,0.0,0.9625,0.0156,0.0
banking77,oracle,0,online_linear,0,0,0.0,0.9625,0.0,0.0
banking77,oracle,0,online_linear,50,50,0.0,0.9625,0.0005,0.0075
banking77,oracle,0,online_linear,100,100,0.0,0.9625,0.001,0.015
banking77,oracle,0,online_linear,150,150,0.0,0.9625,0.0045,0.021
banking77,oracle,0,online_linear,200,200,0.0,0.96,0.0055,0.0285
banking77,oracle,0,online_linear,250,250,0.0,0.9575,0.006,0.0379
banking77,oracle,0,online_linear,300,300,0.0,0.9575,0.0065,0.0464
banking77,oracle,0,online_linear,350,350,0.0,0.9575,0.0085,0.0535
banking77,oracle,0,online_linear,400,400,0.0,0.9575,0.0105,0.0615
banking77,oracle,0,online_linear,450,450,0.0,0.9575,0.013,0.0705
