dataset,policy,system,n_seeds,final_novel_mean,final_novel_std,final_orig_mean,final_orig_std,to_10_mean,to_10_std,to_10_n_reached,to_30_mean,to_30_std,to_30_n_reached,to_50_mean,to_50_std,to_50_n_reached,to_70_mean,to_70_std,to_70_n_reached,to_90_mean,to_90_std,to_90_n_reached
banking77,oracle,a_gem,3,0.48416666666666663,0.06507474335118212,0.9375,0.014288690166235192,872.0,23.15167380558045,3,1027.3333333333333,32.87687468250121,3,1239.0,0.0,1,,,0,,,0
banking77,oracle,ewc,3,0.40499999999999997,0.06895046531145868,0.9458333333333333,0.006561673228343172,936.6666666666666,39.802289158065044,3,1117.3333333333333,65.99158195473791,3,,,0,,,0,,,0
banking77,oracle,knn_lm,3,0.8225000000000001,0.045046272505798596,0.9625,0.005400617248673239,60.333333333333336,23.098821518760552,3,105.66666666666667,40.54078878802872,3,156.33333333333334,63.730334657489095,3,271.0,112.48999955551605,3,,,0
banking77,oracle,lwf,3,0.11833333333333335,0.024944382578492935,0.9491666666666667,0.0042491829279939835,1152.5,25.5,2,,,0,,,0,,,0,,,0
banking77,oracle,online_linear,3,0.5441666666666667,0.08124893161690737,0.9283333333333333,0.01196058341200609,841.3333333333334,34.79782879561437,3,981.3333333333334,23.584363935078304,3,1107.0,33.0,2,,,0,,,0
banking77,oracle,river_logreg,3,0.8683333333333333,0.12076722329432862,0.0,0.0,42.666666666666664,1.247219128924647,3,85.0,13.73559851869101,3,102.0,21.463146709340332,3,111.33333333333333,27.824849006278942,3,137.66666666666666,22.573337271116017,3
banking77,oracle,static_knn,3,0.0,0.0,0.9566666666666667,0.010274023338281637,,,0,,,0,,,0,,,0,,,0
banking77,oracle,static_linear,3,0.0,0.0,0.9516666666666667,0.0077280154129131095,,,0,,,0,,,0,,,0,,,0
banking77,oracle,substrate,3,0.8866666666666667,0.02896357866163797,0.9541666666666666,0.008249579113843058,38.0,4.08248290463863,3,38.0,4.08248290463863,3,69.33333333333333,18.926759422104517,3,99.66666666666667,41.907305117631005,3,191.0,0.0,1
banking77,random10,a_gem,3,0.0,0.0,0.9541666666666666,0.005892556509887928,,,0,,,0,,,0,,,0,,,0
banking77,random10,ewc,3,0.0,0.0,0.9525,0.007359800721939904,,,0,,,0,,,0,,,0,,,0
banking77,random10,knn_lm,3,0.4166666666666667,0.10091938476934059,0.9641666666666667,0.005137011669140794,32.666666666666664,19.327585352432298,3,58.5,2.5,2,83.0,0.0,1,,,0,,,0
banking77,random10,lwf,3,0.0,0.0,0.9550000000000001,0.005400617248673238,,,0,,,0,,,0,,,0,,,0
banking77,random10,online_linear,3,0.0,0.0,0.9525,0.007071067811865481,,,0,,,0,,,0,,,0,,,0
banking77,random10,river_logreg,3,0.6416666666666666,0.07039570693980961,0.0,0.0,5.0,2.160246899469287,3,72.66666666666667,26.042699979499478,3,80.66666666666667,22.095751225568733,3,68.0,6.0,2,,,0
banking77,random10,static_knn,3,0.0,0.0,0.9566666666666667,0.010274023338281637,,,0,,,0,,,0,,,0,,,0
banking77,random10,static_linear,3,0.0,0.0,0.9516666666666667,0.0077280154129131095,,,0,,,0,,,0,,,0,,,0
banking77,random10,substrate,3,0.6549999999999999,0.049032302277852165,0.9558333333333334,0.01047483757498045,10.333333333333334,5.436502143433364,3,30.333333333333332,14.079141387961918,3,48.333333333333336,16.779617264870957,3,58.0,0.0,1,,,0
banking77,random50,a_gem,3,0.02,0.019685019685029528,0.9458333333333333,0.008498365855987981,,,0,,,0,,,0,,,0,,,0
banking77,random50,ewc,3,0.005,0.002041241452319315,0.9525,0.0035355339059327667,,,0,,,0,,,0,,,0,,,0
banking77,random50,knn_lm,3,0.7483333333333334,0.04312449677645203,0.9641666666666667,0.005137011669140794,40.666666666666664,14.079141387961917,3,88.0,38.89301565405628,3,147.33333333333334,64.13180871368661,3,184.0,16.0,2,,,0
banking77,random50,lwf,3,0.0,0.0,0.9491666666666667,0.006236095644623242,,,0,,,0,,,0,,,0,,,0
banking77,random50,online_linear,3,0.019166666666666665,0.009204467514322717,0.9441666666666667,0.006236095644623242,,,0,,,0,,,0,,,0,,,0
banking77,random50,river_logreg,3,0.9125,0.02041241452319317,0.0,0.0,21.0,2.8284271247461903,3,83.33333333333333,16.006942938057293,3,95.0,6.377042156569663,3,119.0,4.96655480858378,3,141.66666666666666,14.839886193034712,3
banking77,random50,static_knn,3,0.0,0.0,0.9566666666666667,0.010274023338281637,,,0,,,0,,,0,,,0,,,0
banking77,random50,static_linear,3,0.0,0.0,0.9516666666666667,0.0077280154129131095,,,0,,,0,,,0,,,0,,,0
banking77,random50,substrate,3,0.855,0.043445367992456914,0.9525,0.008164965809277268,21.666666666666668,0.9428090415820634,3,37.333333333333336,23.098821518760552,3,55.333333333333336,21.746008573733455,3,93.66666666666667,35.87323359956402,3,139.0,0.0,1
clinc150,oracle,a_gem,3,0.08555555555555555,0.005665577237325319,0.8424999999999999,0.01541103500742248,,,0,,,0,,,0,,,0,,,0
clinc150,oracle,ewc,3,0.05777777777777778,0.01930905244109196,0.8708333333333332,0.020034692133618838,,,0,,,0,,,0,,,0,,,0
clinc150,oracle,knn_lm,3,0.7888888888888889,0.04012326685615066,0.8649999999999999,0.014288690166235173,45.0,1.4142135623730951,3,79.66666666666667,4.109609335312651,3,110.33333333333333,16.539514973407037,3,209.33333333333334,71.46249987852993,3,,,0
clinc150,oracle,lwf,3,0.005555555555555556,0.005665577237325317,0.8733333333333334,0.018295415333416765,,,0,,,0,,,0,,,0,,,0
