seed,system,step,corrections,buffer_size,init_secs,pred_secs,correct_secs,acc_novel,acc_original
0,substrate,0,0,,2.8121,0.0,0.0,0.0,0.9475
0,substrate,50,32,,2.8121,0.0255,0.017,0.4825,0.9475
0,substrate,100,51,,2.8121,0.0501,0.026,0.6125,0.9475
0,substrate,150,67,,2.8121,0.0766,0.0324,0.6825,0.9475
0,substrate,200,84,,2.8121,0.1016,0.0414,0.73,0.9475
0,substrate,250,97,,2.8121,0.1256,0.0479,0.8025,0.9475
0,substrate,300,105,,2.8121,0.1476,0.0524,0.82,0.9475
0,substrate,350,113,,2.8121,0.1731,0.0564,0.8325,0.9475
0,substrate,400,122,,2.8121,0.1966,0.0594,0.84,0.9475
0,substrate,450,129,,2.8121,0.2196,0.0629,0.855,0.9475
0,substrate,500,136,,2.8121,0.2453,0.0659,0.8575,0.9475
0,substrate,550,140,,2.8121,0.2713,0.0679,0.8625,0.9475
0,substrate,600,145,,2.8121,0.2953,0.0699,0.8675,0.9475
0,substrate,650,154,,2.8121,0.3173,0.0744,0.8725,0.9475
0,substrate,700,159,,2.8121,0.3409,0.0769,0.875,0.9475
0,substrate,750,164,,2.8121,0.3636,0.0794,0.8775,0.9475
0,substrate,800,168,,2.8121,0.3861,0.0814,0.88,0.9475
0,substrate,850,169,,2.8121,0.4101,0.0814,0.88,0.9475
0,substrate,900,176,,2.8121,0.4356,0.0843,0.8875,0.9475
0,substrate,950,182,,2.8121,0.4606,0.0863,0.895,0.9475
0,substrate,1000,185,,2.8121,0.4861,0.0873,0.895,0.9475
0,substrate,1050,194,,2.8121,0.5142,0.0933,0.9025,0.9475
0,substrate,1100,198,,2.8121,0.5423,0.0948,0.9025,0.9475
0,substrate,1150,203,,2.8121,0.5668,0.0973,0.905,0.9475
0,substrate,1195,208,,2.8121,0.5908,0.0998,0.905,0.9475
0,online_linear,0,0,,1.6413,0.0,0.0,0.0,0.9475
0,online_linear,50,50,,1.6413,0.002,0.0075,0.0,0.945
0,online_linear,100,100,,1.6413,0.005,0.013,0.0,0.945
0,online_linear,150,150,,1.6413,0.006,0.0211,0.0,0.9475
0,online_linear,200,200,,1.6413,0.007,0.0306,0.0,0.9475
0,online_linear,250,250,,1.6413,0.008,0.0396,0.0,0.9525
0,online_linear,300,300,,1.6413,0.0095,0.0471,0.0,0.9525
0,online_linear,350,350,,1.6413,0.0105,0.0551,0.0,0.9525
0,online_linear,400,400,,1.6413,0.012,0.0626,0.0,0.9525
0,online_linear,450,450,,1.6413,0.0125,0.0706,0.0,0.9525
0,online_linear,500,500,,1.6413,0.0145,0.0781,0.0,0.9525
0,online_linear,550,550,,1.6413,0.0155,0.0876,0.0075,0.9525
0,online_linear,600,600,,1.6413,0.017,0.0946,0.0075,0.95
0,online_linear,650,648,,1.6413,0.0175,0.1031,0.01,0.9475
0,online_linear,700,695,,1.6413,0.019,0.1096,0.0375,0.9475
0,online_linear,750,743,,1.6413,0.019,0.1176,0.045,0.9475
0,online_linear,800,790,,1.6413,0.021,0.1246,0.07,0.9425
0,online_linear,850,833,,1.6413,0.0225,0.1316,0.085,0.9425
0,online_linear,900,877,,1.6413,0.0235,0.1391,0.1075,0.9425
0,online_linear,950,920,,1.6413,0.026,0.1456,0.165,0.94
0,online_linear,1000,960,,1.6413,0.027,0.1536,0.235,0.94
0,online_linear,1050,996,,1.6413,0.0285,0.1596,0.305,0.93
0,online_linear,1100,1026,,1.6413,0.03,0.1646,0.3525,0.935
0,online_linear,1150,1049,,1.6413,0.0305,0.1681,0.39,0.9325
0,online_linear,1195,1073,,1.6413,0.031,0.1721,0.445,0.9325
0,a_gem,0,0,,0.6266,0.0,0.0,0.0,0.9475
0,a_gem,50,50,,0.6266,0.0015,0.031,0.0,0.945
0,a_gem,100,100,,0.6266,0.004,0.0585,0.0,0.9475
0,a_gem,150,150,,0.6266,0.005,0.092,0.0,0.9475
0,a_gem,200,200,,0.6266,0.006,0.1225,0.0,0.95
0,a_gem,250,250,,0.6266,0.008,0.155,0.0,0.9525
0,a_gem,300,300,,0.6266,0.009,0.184,0.0,0.9525
0,a_gem,350,350,,0.6266,0.011,0.213,0.0,0.9525
0,a_gem,400,400,,0.6266,0.0115,0.2415,0.0,0.9525
0,a_gem,450,450,,0.6266,0.0125,0.2695,0.0,0.9525
0,a_gem,500,500,,0.6266,0.0141,0.2975,0.0,0.9525
0,a_gem,550,550,,0.6266,0.0166,0.327,0.0075,0.955
0,a_gem,600,600,,0.6266,0.0171,0.3576,0.0075,0.95
0,a_gem,650,648,,0.6266,0.019,0.3846,0.01,0.95
0,a_gem,700,695,,0.6266,0.0206,0.4126,0.03,0.9475
0,a_gem,750,743,,0.6266,0.0211,0.4466,0.0425,0.9475
0,a_gem,800,790,,0.6266,0.0235,0.4736,0.0675,0.9475
0,a_gem,850,834,,0.6266,0.025,0.4986,0.0875,0.9475
0,a_gem,900,878,,0.6266,0.0275,0.5236,0.1075,0.9475
0,a_gem,950,923,,0.6266,0.029,0.5516,0.165,0.9475
0,a_gem,1000,962,,0.6266,0.03,0.5751,0.2275,0.945
0,a_gem,1050,999,,0.6266,0.0315,0.5946,0.2875,0.9425
0,a_gem,1100,1030,,0.6266,0.0325,0.6121,0.32,0.945
0,a_gem,1150,1053,,0.6266,0.0345,0.6251,0.365,0.945
0,a_gem,1195,1077,,0.6266,0.0355,0.6396,0.4,0.9425
0,river_logreg,0,0,,63.2809,0.0,0.0,0.0,0.2175
0,river_logreg,50,42,,63.2809,0.1735,0.9992,0.1,0.0
0,river_logreg,100,85,,63.2809,0.3466,2.052,0.38,0.0
0,river_logreg,150,108,,63.2809,0.5201,2.6833,0.6925,0.0
0,river_logreg,200,120,,63.2809,0.6812,3.0043,0.8475,0.0
0,river_logreg,250,135,,63.2809,0.8328,3.3969,0.7175,0.0
0,river_logreg,300,153,,63.2809,0.9958,3.8396,0.8925,0.0
