dataset,policy,seed,system,step,corrections,acc_novel,acc_original,pred_secs,correct_secs
banking77,oracle,0,substrate,0,0,0.0,0.97,0.0,0.0
banking77,oracle,0,substrate,50,30,0.4675,0.97,0.0305,0.014
banking77,oracle,0,substrate,100,49,0.62,0.97,0.0595,0.024
banking77,oracle,0,substrate,150,69,0.7375,0.97,0.0855,0.035
banking77,oracle,0,substrate,200,83,0.775,0.97,0.112,0.041
banking77,oracle,0,substrate,250,95,0.795,0.97,0.1405,0.0455
banking77,oracle,0,substrate,300,102,0.8075,0.97,0.166,0.0491
banking77,oracle,0,substrate,350,110,0.8125,0.97,0.1915,0.0531
banking77,oracle,0,substrate,400,114,0.8175,0.97,0.214,0.0556
banking77,oracle,0,substrate,450,121,0.825,0.97,0.2411,0.0596
banking77,oracle,0,substrate,500,125,0.835,0.9675,0.2646,0.0616
banking77,oracle,0,substrate,550,134,0.85,0.9675,0.2871,0.0656
banking77,oracle,0,substrate,600,138,0.8525,0.9675,0.3121,0.0676
banking77,oracle,0,substrate,650,149,0.865,0.9675,0.3351,0.0736
banking77,oracle,0,substrate,700,152,0.8675,0.9675,0.3591,0.0751
banking77,oracle,0,substrate,750,163,0.875,0.9675,0.3801,0.0806
banking77,oracle,0,substrate,800,167,0.8775,0.9675,0.4041,0.0831
banking77,oracle,0,substrate,850,172,0.8775,0.9675,0.4286,0.0856
banking77,oracle,0,substrate,900,178,0.8825,0.9675,0.4496,0.0881
banking77,oracle,0,substrate,950,191,0.89,0.9675,0.4731,0.0946
banking77,oracle,0,substrate,1000,193,0.89,0.9675,0.4936,0.0951
banking77,oracle,0,substrate,1050,195,0.8925,0.9675,0.5206,0.0951
banking77,oracle,0,substrate,1100,201,0.895,0.965,0.5426,0.0981
banking77,oracle,0,substrate,1150,204,0.8975,0.965,0.5646,0.0996
banking77,oracle,0,substrate,1195,207,0.8975,0.965,0.5861,0.1011
banking77,oracle,0,static_knn,0,0,0.0,0.97,0.0,0.0
banking77,oracle,0,static_knn,50,50,0.0,0.97,0.016,0.0
banking77,oracle,0,static_knn,100,100,0.0,0.97,0.0345,0.0
banking77,oracle,0,static_knn,150,150,0.0,0.97,0.0555,0.0
banking77,oracle,0,static_knn,200,200,0.0,0.97,0.0755,0.0
banking77,oracle,0,static_knn,250,250,0.0,0.97,0.099,0.0
banking77,oracle,0,static_knn,300,300,0.0,0.97,0.1205,0.0
banking77,oracle,0,static_knn,350,350,0.0,0.97,0.1415,0.0
banking77,oracle,0,static_knn,400,400,0.0,0.97,0.161,0.0
banking77,oracle,0,static_knn,450,450,0.0,0.97,0.181,0.0
banking77,oracle,0,static_knn,500,500,0.0,0.97,0.1985,0.0
banking77,oracle,0,static_knn,550,550,0.0,0.97,0.2185,0.0
banking77,oracle,0,static_knn,600,600,0.0,0.97,0.237,0.0
banking77,oracle,0,static_knn,650,650,0.0,0.97,0.2555,0.0
banking77,oracle,0,static_knn,700,700,0.0,0.97,0.2741,0.0
banking77,oracle,0,static_knn,750,750,0.0,0.97,0.2921,0.0
banking77,oracle,0,static_knn,800,800,0.0,0.97,0.3126,0.0
banking77,oracle,0,static_knn,850,850,0.0,0.97,0.3326,0.0
banking77,oracle,0,static_knn,900,900,0.0,0.97,0.3531,0.0
banking77,oracle,0,static_knn,950,950,0.0,0.97,0.3711,0.0
banking77,oracle,0,static_knn,1000,1000,0.0,0.97,0.3896,0.0
banking77,oracle,0,static_knn,1050,1050,0.0,0.97,0.4081,0.0
banking77,oracle,0,static_knn,1100,1100,0.0,0.97,0.4271,0.0
banking77,oracle,0,static_knn,1150,1150,0.0,0.97,0.4476,0.0
banking77,oracle,0,static_knn,1195,1195,0.0,0.97,0.4666,0.0
banking77,oracle,0,static_linear,0,0,0.0,0.9625,0.0,0.0
banking77,oracle,0,static_linear,50,50,0.0,0.9625,0.001,0.0
banking77,oracle,0,static_linear,100,100,0.0,0.9625,0.0015,0.0
banking77,oracle,0,static_linear,150,150,0.0,0.9625,0.002,0.0
banking77,oracle,0,static_linear,200,200,0.0,0.9625,0.003,0.0
banking77,oracle,0,static_linear,250,250,0.0,0.9625,0.004,0.0
banking77,oracle,0,static_linear,300,300,0.0,0.9625,0.005,0.0
banking77,oracle,0,static_linear,350,350,0.0,0.9625,0.0055,0.0
banking77,oracle,0,static_linear,400,400,0.0,0.9625,0.006,0.0
banking77,oracle,0,static_linear,450,450,0.0,0.9625,0.0075,0.0
banking77,oracle,0,static_linear,500,500,0.0,0.9625,0.008,0.0
banking77,oracle,0,static_linear,550,550,0.0,0.9625,0.009,0.0
banking77,oracle,0,static_linear,600,600,0.0,0.9625,0.0095,0.0
banking77,oracle,0,static_linear,650,650,0.0,0.9625,0.01,0.0
banking77,oracle,0,static_linear,700,700,0.0,0.9625,0.0105,0.0
banking77,oracle,0,static_linear,750,750,0.0,0.9625,0.0115,0.0
banking77,oracle,0,static_linear,800,800,0.0,0.9625,0.012,0.0
banking77,oracle,0,static_linear,850,850,0.0,0.9625,0.0125,0.0
banking77,oracle,0,static_linear,900,900,0.0,0.9625,0.013,0.0
banking77,oracle,0,static_linear,950,950,0.0,0.9625,0.014,0.0
banking77,oracle,0,static_linear,1000,1000,0.0,0.9625,0.015,0.0
banking77,oracle,0,static_linear,1050,1050,0.0,0.9625,0.016,0.0
banking77,oracle,0,static_linear,1100,1100,0.0,0.9625,0.017,0.0
banking77,oracle,0,static_linear,1150,1150,0.0,0.9625,0.0175,0.0
banking77,oracle,0,static_linear,1195,1195,0.0,0.9625,0.0185,0.0
banking77,oracle,0,online_linear,0,0,0.0,0.9625,0.0,0.0
banking77,oracle,0,online_linear,50,50,0.0,0.9625,0.003,0.0075
banking77,oracle,0,online_linear,100,100,0.0,0.9625,0.003,0.0195
banking77,oracle,0,online_linear,150,150,0.0,0.9625,0.0055,0.029
banking77,oracle,0,online_linear,200,200,0.0,0.9625,0.007,0.0385
banking77,oracle,0,online_linear,250,250,0.0,0.96,0.008,0.048
banking77,oracle,0,online_linear,300,300,0.0,0.9575,0.01,0.057
banking77,oracle,0,online_linear,350,350,0.0,0.9575,0.0115,0.0655
banking77,oracle,0,online_linear,400,400,0.0,0.96,0.013,0.0735
banking77,oracle,0,online_linear,450,450,0.0,0.96,0.0135,0.084
banking77,oracle,0,online_linear,500,500,0.0,0.9575,0.0145,0.0925
banking77,oracle,0,online_linear,550,549,0.0,0.9575,0.0165,0.101
banking77,oracle,0,online_linear,600,599,0.0075,0.955,0.017,0.1106
banking77,oracle,0,online_linear,650,649,0.02,0.9575,0.0185,0.1211
banking77,oracle,0,online_linear,700,696,0.0375,0.9525,0.0195,0.1311
banking77,oracle,0,online_linear,750,743,0.0675,0.9525,0.022,0.1396
banking77,oracle,0,online_linear,800,788,0.09,0.9525,0.0235,0.1486
banking77,oracle,0,online_linear,850,835,0.1075,0.95,0.0245,0.1571
banking77,oracle,0,online_linear,900,877,0.15,0.95,0.0265,0.1651
banking77,oracle,0,online_linear,950,919,0.21,0.95,0.0275,0.1746
banking77,oracle,0,online_linear,1000,953,0.2625,0.9475,0.0295,0.1801
banking77,oracle,0,online_linear,1050,980,0.2825,0.9475,0.031,0.1851
banking77,oracle,0,online_linear,1100,1012,0.3325,0.945,0.033,0.1916
banking77,oracle,0,online_linear,1150,1040,0.375,0.945,0.0335,0.1956
banking77,oracle,0,online_linear,1195,1073,0.4225,0.945,0.0355,0.2016
banking77,oracle,1,substrate,0,0,0.0,0.945,0.0,0.0
banking77,oracle,1,substrate,50,33,0.4925,0.9425,0.0235,0.015
banking77,oracle,1,substrate,100,59,0.6425,0.9425,0.047,0.0265
banking77,oracle,1,substrate,150,79,0.7525,0.9425,0.07,0.037
banking77,oracle,1,substrate,200,88,0.7825,0.9425,0.094,0.0415
banking77,oracle,1,substrate,250,99,0.8375,0.9425,0.1175,0.047
banking77,oracle,1,substrate,300,112,0.855,0.9425,0.1395,0.055
banking77,oracle,1,substrate,350,120,0.8625,0.9425,0.1625,0.059
banking77,oracle,1,substrate,400,124,0.8675,0.9425,0.1865,0.0605
banking77,oracle,1,substrate,450,129,0.875,0.9425,0.2085,0.0635
banking77,oracle,1,substrate,500,138,0.88,0.9425,0.2306,0.068
banking77,oracle,1,substrate,550,143,0.885,0.9425,0.2516,0.0705
