dataset,policy,system,n_seeds,final_novel_mean,final_novel_std,final_orig_mean,final_orig_std,to_10_mean,to_10_std,to_10_n_reached,to_30_mean,to_30_std,to_30_n_reached,to_50_mean,to_50_std,to_50_n_reached,to_70_mean,to_70_std,to_70_n_reached,to_90_mean,to_90_std,to_90_n_reached
banking77,oracle,online_linear,3,0.5208333333333334,0.08277311694559346,0.9274999999999999,0.012416387021459424,835.3333333333334,39.60078562632593,3,983.3333333333334,32.42769735204082,3,1112.5,42.5,2,,,0,,,0
banking77,oracle,static_knn,3,0.0,0.0,0.9566666666666667,0.010274023338281637,,,0,,,0,,,0,,,0,,,0
banking77,oracle,static_linear,3,0.0,0.0,0.9516666666666667,0.0077280154129131095,,,0,,,0,,,0,,,0,,,0
banking77,oracle,substrate,3,0.9016666666666667,0.019614337159899697,0.9508333333333333,0.010069204977995471,35.333333333333336,5.557777333511022,3,45.666666666666664,20.07209228976613,3,68.66666666666667,21.139746660943903,3,102.0,39.80787191833629,3,183.0,0.0,1
banking77,random10,online_linear,3,0.0,0.0,0.9516666666666667,0.0077280154129131095,,,0,,,0,,,0,,,0,,,0
banking77,random10,static_knn,3,0.0,0.0,0.9566666666666667,0.010274023338281637,,,0,,,0,,,0,,,0,,,0
banking77,random10,static_linear,3,0.0,0.0,0.9516666666666667,0.0077280154129131095,,,0,,,0,,,0,,,0,,,0
banking77,random10,substrate,3,0.6633333333333332,0.053242109483210946,0.9558333333333334,0.01047483757498045,10.0,7.788880963698615,3,20.666666666666668,8.178562764256865,3,42.666666666666664,15.107025591499546,3,59.0,0.0,1,,,0
banking77,random50,online_linear,3,0.011666666666666667,0.011606990230986765,0.945,0.007359800721939854,,,0,,,0,,,0,,,0,,,0
banking77,random50,static_knn,3,0.0,0.0,0.9566666666666667,0.010274023338281637,,,0,,,0,,,0,,,0,,,0
banking77,random50,static_linear,3,0.0,0.0,0.9516666666666667,0.0077280154129131095,,,0,,,0,,,0,,,0,,,0
banking77,random50,substrate,3,0.8700000000000001,0.02150581316760656,0.9541666666666667,0.010274023338281637,21.0,1.632993161855452,3,28.0,11.343133018115703,3,50.0,17.107503227141788,3,87.33333333333333,31.47838764754143,3,,,0
clinc150,oracle,online_linear,3,0.11222222222222222,0.014989708403591156,0.8300000000000001,0.018142950880897693,991.5,3.5,2,,,0,,,0,,,0,,,0
clinc150,oracle,static_knn,3,0.0,0.0,0.8108333333333334,0.010069204977995449,,,0,,,0,,,0,,,0,,,0
clinc150,oracle,static_linear,3,0.0,0.0,0.9,0.0177951304200522,,,0,,,0,,,0,,,0,,,0
clinc150,oracle,substrate,3,0.8700000000000001,0.019051586888313602,0.8041666666666667,0.009428090415820642,39.333333333333336,3.0912061651652345,3,39.333333333333336,3.0912061651652345,3,39.333333333333336,3.0912061651652345,3,74.66666666666667,14.38363267359428,3,,,0
clinc150,random10,online_linear,3,0.0,0.0,0.8866666666666667,0.017360555546666354,,,0,,,0,,,0,,,0,,,0
clinc150,random10,static_knn,3,0.0,0.0,0.8108333333333334,0.010069204977995449,,,0,,,0,,,0,,,0,,,0
clinc150,random10,static_linear,3,0.0,0.0,0.9,0.0177951304200522,,,0,,,0,,,0,,,0,,,0
clinc150,random10,substrate,3,0.6366666666666666,0.007200822998230934,0.8033333333333333,0.008498365855987932,8.333333333333334,1.699673171197595,3,22.666666666666668,2.6246692913372702,3,37.666666666666664,1.699673171197595,3,,,0,,,0
clinc150,random50,online_linear,3,0.0,0.0,0.8491666666666666,0.017834112132527283,,,0,,,0,,,0,,,0,,,0
clinc150,random50,static_knn,3,0.0,0.0,0.8108333333333334,0.010069204977995449,,,0,,,0,,,0,,,0,,,0
clinc150,random50,static_linear,3,0.0,0.0,0.9,0.0177951304200522,,,0,,,0,,,0,,,0,,,0
clinc150,random50,substrate,3,0.831111111111111,0.021998877636914816,0.8024999999999999,0.007071067811865481,21.666666666666668,3.0912061651652345,3,21.666666666666668,3.0912061651652345,3,40.0,2.943920288775949,3,73.0,9.273618495495704,3,,,0
