system,step,corrections,acc_novel,acc_original,pred_secs,correct_secs
substrate,0,0,0.0,0.97,0.0,0.0
substrate,50,30,0.4675,0.97,0.025,0.0165
substrate,100,49,0.62,0.97,0.047,0.0255
substrate,150,69,0.7375,0.97,0.0675,0.0335
substrate,200,83,0.775,0.97,0.0905,0.041
substrate,250,95,0.795,0.97,0.1125,0.0475
substrate,300,102,0.8075,0.97,0.139,0.0515
substrate,350,110,0.8125,0.97,0.1645,0.054
substrate,400,114,0.8175,0.97,0.19,0.0565
substrate,450,121,0.825,0.97,0.2141,0.059
substrate,500,125,0.835,0.9675,0.2386,0.0615
substrate,550,134,0.85,0.9675,0.2641,0.0665
substrate,600,138,0.8525,0.9675,0.2891,0.0685
substrate,650,149,0.865,0.9675,0.3126,0.0741
substrate,700,152,0.8675,0.9675,0.3371,0.0756
substrate,750,163,0.875,0.9675,0.3621,0.082
substrate,800,167,0.8775,0.9675,0.3841,0.084
substrate,850,172,0.8775,0.9675,0.4091,0.0876
substrate,900,178,0.8825,0.9675,0.4326,0.0911
substrate,950,191,0.89,0.9675,0.4546,0.0971
substrate,1000,193,0.89,0.9675,0.4756,0.0981
substrate,1050,195,0.8925,0.9675,0.4971,0.0991
substrate,1100,201,0.895,0.965,0.5211,0.1016
substrate,1150,204,0.8975,0.965,0.5426,0.1026
substrate,1195,207,0.8975,0.965,0.5621,0.1041
static_knn,0,0,0.0,0.97,0.0,0.0
static_knn,50,50,0.0,0.97,0.0195,0.0
static_knn,100,100,0.0,0.97,0.04,0.0
static_knn,150,150,0.0,0.97,0.057,0.0
static_knn,200,200,0.0,0.97,0.0745,0.0
static_knn,250,250,0.0,0.97,0.094,0.0
static_knn,300,300,0.0,0.97,0.113,0.0
static_knn,350,350,0.0,0.97,0.13,0.0
static_knn,400,400,0.0,0.97,0.148,0.0
static_knn,450,450,0.0,0.97,0.1645,0.0
static_knn,500,500,0.0,0.97,0.183,0.0
static_knn,550,550,0.0,0.97,0.1995,0.0
static_knn,600,600,0.0,0.97,0.2145,0.0
static_knn,650,650,0.0,0.97,0.233,0.0
static_knn,700,700,0.0,0.97,0.25,0.0
static_knn,750,750,0.0,0.97,0.27,0.0
static_knn,800,800,0.0,0.97,0.289,0.0
static_knn,850,850,0.0,0.97,0.305,0.0
static_knn,900,900,0.0,0.97,0.3296,0.0
static_knn,950,950,0.0,0.97,0.3461,0.0
static_knn,1000,1000,0.0,0.97,0.3616,0.0
static_knn,1050,1050,0.0,0.97,0.3786,0.0
static_knn,1100,1100,0.0,0.97,0.3936,0.0
static_knn,1150,1150,0.0,0.97,0.4101,0.0
static_knn,1195,1195,0.0,0.97,0.4246,0.0
static_linear,0,0,0.0,0.9625,0.0,0.0
static_linear,50,50,0.0,0.9625,0.0005,0.0
static_linear,100,100,0.0,0.9625,0.001,0.0
static_linear,150,150,0.0,0.9625,0.002,0.0
static_linear,200,200,0.0,0.9625,0.003,0.0
static_linear,250,250,0.0,0.9625,0.0035,0.0
static_linear,300,300,0.0,0.9625,0.004,0.0
static_linear,350,350,0.0,0.9625,0.0045,0.0
static_linear,400,400,0.0,0.9625,0.005,0.0
static_linear,450,450,0.0,0.9625,0.006,0.0
static_linear,500,500,0.0,0.9625,0.007,0.0
static_linear,550,550,0.0,0.9625,0.008,0.0
static_linear,600,600,0.0,0.9625,0.009,0.0
static_linear,650,650,0.0,0.9625,0.0095,0.0
static_linear,700,700,0.0,0.9625,0.0105,0.0
static_linear,750,750,0.0,0.9625,0.011,0.0
static_linear,800,800,0.0,0.9625,0.0115,0.0
static_linear,850,850,0.0,0.9625,0.0125,0.0
static_linear,900,900,0.0,0.9625,0.0135,0.0
static_linear,950,950,0.0,0.9625,0.014,0.0
static_linear,1000,1000,0.0,0.9625,0.015,0.0
static_linear,1050,1050,0.0,0.9625,0.0155,0.0
static_linear,1100,1100,0.0,0.9625,0.0165,0.0
static_linear,1150,1150,0.0,0.9625,0.0175,0.0
static_linear,1195,1195,0.0,0.9625,0.018,0.0
online_linear,0,0,0.0,0.9625,0.0,0.0
online_linear,50,50,0.0,0.9625,0.0015,0.0095
online_linear,100,100,0.0,0.9625,0.004,0.0165
online_linear,150,150,0.0,0.9625,0.005,0.026
online_linear,200,200,0.0,0.9625,0.0065,0.033
online_linear,250,250,0.0,0.96,0.008,0.041
online_linear,300,300,0.0,0.9575,0.0085,0.0505
online_linear,350,350,0.0,0.9575,0.0115,0.057
online_linear,400,400,0.0,0.96,0.013,0.064
online_linear,450,450,0.0,0.96,0.013,0.072
online_linear,500,500,0.0,0.9575,0.0135,0.0815
online_linear,550,549,0.0,0.9575,0.0175,0.088
online_linear,600,599,0.0075,0.955,0.0195,0.095
online_linear,650,649,0.02,0.9575,0.0205,0.1025
online_linear,700,696,0.0375,0.9525,0.023,0.1095
online_linear,750,743,0.0675,0.9525,0.025,0.117
online_linear,800,788,0.09,0.9525,0.0255,0.1255
online_linear,850,835,0.1075,0.95,0.0255,0.135
online_linear,900,877,0.15,0.95,0.027,0.1425
online_linear,950,919,0.21,0.95,0.03,0.1485
online_linear,1000,953,0.2625,0.9475,0.031,0.153
online_linear,1050,980,0.2825,0.9475,0.0325,0.157
online_linear,1100,1012,0.3325,0.945,0.034,0.165
online_linear,1150,1040,0.375,0.945,0.0355,0.169
online_linear,1195,1073,0.4225,0.945,0.037,0.173
